# DATOS PRE-CURADOS CON FUENTES PÚBLICAS TRAZABLES — PENDIENTE AUDITORÍA VETERINARIA APÍCOLA
# Fuentes: WOAH Manual de las Pruebas de Diagnóstico (capítulo 3.2 abejas), RD 1492/2009 sobre vigilancia
# sanitaria en colmenares, Reglamento UE 2018/1882 lista enfermedades animales clases A-D, RD 630/2013
# catálogo español de especies exóticas invasoras, Estrategia nacional contra Vespa velutina.
# El veterinario apícola asesor debe auditar y firmar antes de producción comercial — al hacerlo,
# `revisado_por` pasa de la fuente pública al nombre del asesor + número colegiado.
#
# Categorías:
#   parasito         varroa, acariosis traqueal
#   infeccion        bacterianas (loque), fúngicas (ascosferiosis, nosema), víricas (DWV, CBPV)
#   plaga_fisica     polilla cera, escarabajo colmenas
#   depredador       vespa velutina, abejarucos
#   abiotico         intoxicación por fitosanitarios, hambre, frío
id,nombre_comun,nombre_cientifico,tipo,sintomas,condiciones_favorables,manejo_cultural,declaracion_oficial,notas,revisado_por,fecha_revision
varroosis,Varroosis,Varroa destructor,parasito,Ácaros visibles sobre abejas adultas y cría|cría salteada|alas deformes|caída de población,Cría operculada presente|colmenas debilitadas|sin tratamiento previo,Recuento sticky board para nivel de infestación|fondos sanitarios|enjambres artificiales en sin_postura,no,Ubicua en España. Tratamiento obligatorio en cualquier explotación,WOAH Manual cap. 3.2.7,2026-05-08
nosemosis_apis,Nosemosis (Nosema apis),Vairimorpha apis,infeccion,Diarrea oscura sobre la piquera|panales manchados|abejas tambaleantes,Primavera fría y húmeda|estrés alimentario|colmenas sucias,Recambio de cera vieja|alimentación con jarabe limpio|aireación en invernada,no,Antes llamada Nosema apis — reclasificada al género Vairimorpha,WOAH Manual cap. 3.2.4,2026-05-08
nosemosis_ceranae,Nosemosis (Nosema ceranae),Vairimorpha ceranae,infeccion,Despoblamiento sin diarrea visible|caída en producción|reinas que pierden postura,Estrés por trashumancia|colmenas envejecidas|nutrición pobre,Recambio frecuente de cera|alimentación proteica suplementaria|reposición regular de reinas,no,Más frecuente en España que la N. apis clásica. Diagnóstico solo por microscopio o PCR,WOAH Manual cap. 3.2.4,2026-05-08
loque_americana,Loque americana,Paenibacillus larvae,infeccion,Cría operculada de aspecto graso|opérculos hundidos y perforados|olor pútrido a cola de carpintero|prueba de la cerilla positiva,Esporas persistentes muchos años|colmenas viejas|robo entre colmenas,DESTRUCCIÓN OBLIGATORIA por incineración. NO es tratable con antibióticos en la UE,si,ENFERMEDAD DE DECLARACIÓN OBLIGATORIA. Llamar a Servicios Veterinarios oficiales,RD 1492/2009 + UE 2018/1882 clase D + WOAH cap. 3.2.2,2026-05-08
loque_europea,Loque europea,Melissococcus plutonius,infeccion,Cría desoperculada con larvas retorcidas|color amarillento a marrón|olor agrio (no pútrido),Estrés nutricional|colmenas débiles,Renovación de panal|trasiego a colmena limpia|reposición de reina,no,Menos virulenta que la americana. Notificación variable por CCAA — verificar RD autonómico,WOAH Manual cap. 3.2.3 + verificar RD CCAA,2026-05-08
ascosferiosis,Ascosferiosis (cría escayolada),Ascosphaera apis,infeccion,Larvas momificadas blancas y duras|aspecto de tiza|momias en el fondo y la piquera,Humedad elevada|ventilación pobre|primavera fría tras inversión,Aireación|reducción de población a nivel saneable|reposición de reina,no,Conocida también como cría escayolada. Manejo cultural suele bastar,WOAH Manual cap. 3.2.5,2026-05-08
virus_alas_deformes,Virus de las alas deformes,DWV (Deformed Wing Virus),infeccion,Abejas jóvenes con alas atrofiadas o arrugadas|abdomen acortado|incapacidad de vuelo,Alta carga de varroa|colmenas inmunodeprimidas,Tratar contra varroa — la varroa es vector principal del DWV,no,Indicador de infestación de varroa — el síntoma del DWV ya es señal de fracaso del control de varroa,Bibliografía sanitaria apícola,2026-05-08
virus_paralisis_cronica,Virus de la parálisis crónica,CBPV (Chronic Bee Paralysis Virus),infeccion,Abejas negras y brillantes (sin pelo)|temblores|piquera con cadáveres,Hacinamiento|verano caluroso|estrés ambiental,Aireación|distancia entre colmenas|reposición de reina,no,Presentación brusca puede colapsar colmenas en pocos días,Bibliografía sanitaria apícola,2026-05-08
acariosis,Acariosis traqueal,Acarapis woodi,parasito,Abejas que no vuelan|alas en posición K|piquera con cadáveres|alas asimétricas,Invernada|colmenas viejas no renovadas,Reposición de reinas|recambio de cera|tratamientos para varroa también limitan acariosis,no,Diagnóstico solo por microscopio. Menos extendida que la varroa,WOAH Manual cap. 3.2.1,2026-05-08
polilla_cera,Polilla de la cera,Galleria mellonella,plaga_fisica,Galerías de seda en panales abandonados|larvas blancas|destrucción rápida de panales,Panales fuera de la colmena|colmenas debilitadas sin abejas,Almacenar panales con frío o azufre|no dejar alzas vacías al sol,no,Daña sobre todo cera almacenada — no la colmena fuerte y poblada,Bibliografía sanitaria apícola,2026-05-08
escarabajo_colmenas,Escarabajo de las colmenas,Aethina tumida,plaga_fisica,Larvas en panales|miel fermentada y maloliente|colmenas saqueadas,Climas cálidos y húmedos|colmenas debilitadas,Trampas de fondo|fortalecer colmenas|destruir colonias afectadas,si,ENFERMEDAD DE DECLARACIÓN OBLIGATORIA en la UE. Especie exótica invasora — vigilar y notificar inmediatamente,UE 2018/1882 clase A + WOAH cap. 3.2.6 + RD 1492/2009,2026-05-08
tropilaelaps,Tropilaelaps,Tropilaelaps spp.,parasito,Cría operculada perforada con orificios irregulares|abejas con alas deformes|caída brusca de población|larvas con manchas marrones,Ausente en España. Riesgo de introducción por importación de material apícola.,Vigilancia activa por inspector veterinario|inspección de colmenares importados|destrucción de colmenas si confirmación,si,ENFERMEDAD DE DECLARACIÓN OBLIGATORIA UE. Ácaro asiático parasitario — agrava varroa.,UE 2018/1882 clase A + WOAH cap. 3.2.8,2026-05-08
vespa_velutina,Avispón asiático,Vespa velutina,depredador,Avispones vigilando piquera|abejas defensivas se concentran en piquera (efecto bola defensiva)|caída de actividad pecoreadora,Verano y otoño en zonas afectadas (norte ibérico — atlántica),Trampeo selectivo de reinas en primavera|destrucción de nidos por especialista|reductores de piquera,si,Especie exótica invasora. Dispone de protocolo nacional de gestión. Notificar nidos a 112 o ayuntamiento,RD 630/2013 + Estrategia Nacional Vespa velutina MAPA,2026-05-08
abejaruco,Abejaruco europeo,Merops apiaster,depredador,Bandadas de aves coloridas posadas en cables|presas en piquera durante las migraciones,Migraciones primavera y otoño,Mover el colmenar si la presión es alta — protegido por ley,no,Especie protegida — NO se persigue. Convivencia y manejo de ubicación es la única opción legal,Ley 42/2007 Patrimonio Natural y Biodiversidad,2026-05-08
robo,Robo entre colmenas,,abiotico,Pelea en piquera|cera mordida|abejas brillantes (negras lustradas),Mielada parada|colmenas debilitadas|piquera abierta de más,Reducción de piquera|cierre temporal de colmena debilitada|alimentación suplementaria,no,Síntoma de manejo — no patología. Frecuente al final del verano,Bibliografía apícola clásica,2026-05-08
intoxicacion_fitosanitarios,Intoxicación por fitosanitarios,,abiotico,Mortandad masiva en piquera|abejas con probóscide extendida|caída brusca,Aplicaciones agrícolas próximas|cultivos en floración cercanos,Notificar al SEPRONA + tomar muestras antes de mover|coordinar con agricultores vecinos|cambiar ubicación,no,Pruebas y muestras críticas si va a haber denuncia,Bibliografía sanitaria apícola,2026-05-08
hambre_invernal,Hambre invernal,,abiotico,Colmena muerta en invernada con abejas dentro de celdillas|reservas agotadas,Invernada larga|cosecha excesiva otoñal,Pesar colmenas pre-invernada (mínimo 12-15 kg de reservas según zona)|alimentación suplementaria preventiva,no,Causa frecuente de mortandad invernal en explotaciones poco visitadas en otoño,Bibliografía apícola clásica,2026-05-08
