# DATOS PRE-CURADOS CON FUENTES PÚBLICAS TRAZABLES — PENDIENTE AUDITORÍA AGRONÓMICA
# Fuentes: Reglamento UE 2019/2072 (plagas reguladas), RD 690/2017 + Orden APA/793/2020 (Xylella),
# Plan de Contingencia Flavescencia Dorada MAPA, Registro Fitosanitario MAPA + boletines de
# avisos fitosanitarios autonómicos para no reguladas (mildiu/oídio/botritis/Lobesia/eutipiosis/yesca…).
# El asesor agronómico debe auditar y firmar antes de producción comercial — al hacerlo,
# `revisado_por` pasa de la fuente pública al nombre del asesor + número colegiado.
id,nombre_comun,nombre_cientifico,tipo,sintomas,condiciones_favorables,manejo_cultural,declaracion_oficial,revisado_por,fecha_revision
mildiu,Mildiu,Plasmopara viticola,enfermedad,"Manchas amarillas aceitosas en haz; pelusa blanca en envés. En racimos: bayas marrones momificadas.","Humedad alta + temperatura 18-25°C. Lluvia tras brotación.","Eliminar restos de poda. Mejorar aireación con deshojado y poda en verde. Evitar riego foliar.",no,Boletines avisos fitosanitarios CCAA,2026-05-08
oidio,Oídio,Erysiphe necator,enfermedad,"Polvillo blanco grisáceo en hojas y racimos. Bayas agrietadas.","Calor seco 20-28°C. Sombras y vegetación densa.","Deshojado en zona de racimos para airear. Evitar abonado nitrogenado excesivo. Poda en verde.",no,Boletines avisos fitosanitarios CCAA,2026-05-08
botritis,Botritis o podredumbre gris,Botrytis cinerea,enfermedad,"Pelusa gris sobre racimos maduros. Bayas reventadas y podridas.","Humedad alta cerca de vendimia. Heridas previas (granizo polilla).","Vendimiar a tiempo. Eliminar racimos heridos. Aireación con deshojado.",no,Boletines avisos fitosanitarios CCAA,2026-05-08
black_rot,Black-rot,Guignardia bidwellii,enfermedad,"Manchas pardas circulares en hojas. Bayas momificadas con puntos negros.","Humedad y temperatura cálida 20-25°C.","Eliminar momias y restos. Buena aireación.",no,Boletines avisos fitosanitarios CCAA,2026-05-08
excoriosis,Excoriosis,Phomopsis viticola,enfermedad,"Lesiones negras en sarmientos jóvenes. Hojas con puntos pequeños.","Lluvia en brotación temprana.","Poda eliminando madera afectada. Quemar restos.",no,Boletines avisos fitosanitarios CCAA,2026-05-08
eutipiosis,Eutipiosis,Eutypa lata,enfermedad,"Brotes raquíticos con entrenudos cortos. Hojas pequeñas y deformes. Tejido necrótico bajo corteza.","Heridas de poda en humedad.","Podar en seco al final del invierno. Cortar bien por debajo de la madera afectada. Proteger heridas grandes.",no,Boletines avisos fitosanitarios CCAA,2026-05-08
yesca,Yesca,,enfermedad,"Hojas con bandas amarillas/rojizas entre nervios. Apoplejía: muerte súbita de la cepa en verano.","Heridas de injerto y poda. Suelo y agua estresada.","Podar en seco. Eliminar cepas afectadas con apoplejía.",no,Boletines avisos fitosanitarios CCAA,2026-05-08
brazo_muerto,Brazo muerto,Lasiodiplodia theobromae,enfermedad,"Brazos secos sin brotación. Tejido oscuro bajo corteza.","Estrés hídrico y heridas.","Cortar el brazo afectado bien por debajo del límite necrótico.",no,Boletines avisos fitosanitarios CCAA,2026-05-08
polilla_racimo,Polilla del racimo,Lobesia botrana,plaga,"Larvas en racimos: en flor (1ª gen) y en grano (2ª y 3ª gen). Galerías y bayas perforadas. Vía de entrada para botritis.","Calor 20-25°C. Tres generaciones por campaña en clima mediterráneo.","Confusión sexual con feromonas. Trampeo masivo. Eliminar bayas afectadas. Vendimiar a tiempo.",no,Boletines avisos fitosanitarios CCAA,2026-05-08
mosquito_verde,Mosquito verde,Empoasca vitis,plaga,"Hojas con bordes amarillentos/rojizos enrollados. Punteado clorótico.","Mayo-septiembre. Vegetación tierna.","Cubierta vegetal espontánea para fauna útil. Evitar abonado nitrogenado excesivo.",no,Boletines avisos fitosanitarios CCAA,2026-05-08
acaros_eriofidos,Ácaros eriófidos (acariosis y erinosis),Calepitrimerus vitis,plaga,"Acariosis: brotes detenidos primavera. Erinosis: agallas afelpadas en envés.","Brotación. Acariosis en primavera fría.","Tolerar daño bajo. Conservar fauna útil (ácaros depredadores).",no,Boletines avisos fitosanitarios CCAA,2026-05-08
filoxera,Filoxera,Daktulosphaira vitifoliae,plaga,"En vid franca: agallas en raíces, decaimiento, muerte. En patrón resistente: agallas foliares (variantes).","Suelos no arenosos.","Plantar siempre sobre patrón americano resistente. La vid franca peninsular es inviable salvo en arenales.",no,Boletines avisos fitosanitarios CCAA,2026-05-08
corrimiento,Corrimiento,,fisiologico,"Cuajado deficiente: muchas flores caen sin cuajar. Racimos ralos.","Frío o lluvia durante floración. Desequilibrio nutricional.","Equilibrar nitrógeno. Despunte en floración para reducir competencia.",no,Boletines avisos fitosanitarios CCAA,2026-05-08
golpe_de_calor,Golpe de calor,,abiotico,"Bayas asoleadas con quemaduras. Pasificación rápida.","Temperaturas >38°C con exposición directa.","Evitar deshojado excesivo en lado de poniente. Mantener cobertura vegetal.",no,Boletines avisos fitosanitarios CCAA,2026-05-08
granizo,Granizo,,abiotico,"Heridas en hojas brotes y racimos. Vía de entrada para enfermedades.","Tormentas de verano.","Si grave: poda de saneamiento. Vigilar entrada de botritis.",no,Boletines avisos fitosanitarios CCAA,2026-05-08
deficit_hidrico,Déficit hídrico,,abiotico,"Hojas amarillentas y luego marrones. Maduración bloqueada. Bayas pequeñas y deshidratadas.","Sequía en suelo poco profundo.","Si hay riego: aplicar. Si no: aceptar la cosecha reducida y planificar reservas para próximo año.",no,Boletines avisos fitosanitarios CCAA,2026-05-08
deficiencia_potasio,Deficiencia de potasio,,fisiologico,"Hojas con bordes secos y necrosados. Maduración irregular.","Suelos arenosos o muy lavados.","Abonado de potasio en otoño/invierno.",no,Boletines avisos fitosanitarios CCAA,2026-05-08
deficiencia_magnesio,Deficiencia de magnesio,,fisiologico,"Manchas amarillas/rojizas internervales en hojas viejas.","Suelos ácidos o exceso de potasio.","Aporte de magnesio (sulfato magnésico foliar o al suelo).",no,Boletines avisos fitosanitarios CCAA,2026-05-08
fitotoxicidad_herbicida,Fitotoxicidad por herbicida,,abiotico,"Hojas deformes en cuchara o abullonadas. Brotes raquíticos.","Deriva de herbicida vecino o aplicación incorrecta.","Identificar fuente. Lavado con riego. Si grave puede afectar varias campañas.",no,Boletines avisos fitosanitarios CCAA,2026-05-08
xylella_pierce,Xylella - síndrome de Pierce de la vid,Xylella fastidiosa subsp. multiplex,enfermedad,"Hojas con quemaduras marginales (escaldadura) avanzando hacia el centro. Sarmientos secos. Cepa decae y muere en 1-3 campañas.","Vector chinche escupidor (Philaenus spumarius). Presente en Mallorca con brotes detectados en Extremadura 2025.","Erradicación de cepas sintomáticas y zona tampón 100m. Control vector con cubierta vegetal manejada. NO existe tratamiento curativo.",si,Reglamento UE 2019/2072 + RD 690/2017 + Orden APA/793/2020,2026-05-08
flavescencia_dorada,Flavescencia dorada,Candidatus Phytoplasma vitis,enfermedad,"Hojas enrolladas hacia el envés con coloración amarilla (variedades blancas) o rojiza (tintas) y aspecto cuero. Sarmientos no agostan. Racimos secos.","Vector cicadélido Scaphoideus titanus. Plaga cuarentenaria UE A2 — presente en Francia y Italia amenaza península.","Arranque obligatorio de cepas sintomáticas. Tratamiento insecticida del vector según protocolo. Material vegetal certificado.",si,Reglamento UE 2019/2072 anexo II A2 + Plan Contingencia MAPA,2026-05-08
