id,nombre,tipo,causa_posible,severidad,requiere_accion,visible_ia,revisado_por
ojos_excesivos,Ojos excesivos / mecánica,textura,Fermentos contaminantes,media,limpieza_profundidad,SÍ,
ojos_insuficientes,Falta de ojos,textura,Fermento inadecuado,media,revisar_fermento,SÍ,
ojos_irregulares,Ojos irregulares,textura,Contaminación por coliformes,alta,analitica,SÍ,
hendiduras,Hendiduras internas,textura,Problema de acidificación,media,revisar_ph,SÍ,
harinosa,Textura harinosa,textura,Exceso de acidez,media,revisar_ph,SÍ,
gomosa,Textura gomosa,textura,Baja acidez / pH alto,media,revisar_ph,SÍ,
pegajosa,Textura pegajosa,textura,Fermentación incompleta,alta,revisar_proceso,SÍ,
grietas_corteza,Grietas en corteza,corteza,S eco excesivo,media,control_hr,SÍ,
moho_superficial,Moho superficial no deseado,corteza,Contaminación ambiental,alta,limpieza_cava,SÍ,
acaros,Ácaros en corteza,corteza,Falta de limpieza / HR alta,alta,tratamiento_acaricida,NO,
separacion_corteza,Separación corteza-pasta,corteza,S eco rápido / HR baja,media,control_hr,SÍ,
color_anormal,Color anormal de la pasta,color,Alimentación animal / aditivos,baja,revisar_leche,SÍ,
manchas_grises,Manchas grises en pasta,color,Contaminación metálica,alta,revisar_utensilios,SÍ,
amargor,Sabor amargo,sabor,Fermento inadecuado / sal,alta,revisar_fermento,NO,
acido,Sabor excesivamente ácido,sabor,Exceso de acidificación,media,revisar_proceso,NO,
picante_anormal,Picante anormal,sabor,Contaminación / mala leche,alta,analitica,NO,
hinchazon_precoz,Hinchazón precoz,hinchazon,Contaminación por clostridios,alta,analitica,NO,
hinchazon_tardia,Hinchazón tardía,hinchazon,Clostridios butíricos en leche,alta,analitica_leche,SÍ,
